1A0X1#In-Flight Refueling
9A300#Awaiting Discharge/Separation/Retirement for Reasons Beyond Their Control
9A400#Disqualified Airman, Return to Duty Program
9A500#Temporarily Ineligible for Retraining – Disqualified for Reasons Beyond Control
9C000#CMSgt of the Air Force
9D100#Key Developmental Senior Enlisted Positions on Headquarters Air Force Staff and Air Force Senior Noncommissioned Officer Academy at Maxwell-Gunter Annex
9E000#Command Chief Master Sergeant
9F000#First Term Airmen Center NCOIC
9G100#Group Superintendent
9J000#Prisoner
9L000#Interpreter/Translator
9L100#Enlisted Engagement Manager/International Affairs
9M000#Military Entrance Processing Command Senior Enlisted Advisor
9M200#International Health Specialists
9M400#Chief, Medical Enlisted Force
9N000#Secretary of the Air Force Enlisted Legislative Fellows
9P000#Patient
9R000#Civil Air Patrol USAF Reserve Assistance NCO
9S100#Scientific Applications Specialist
9T000#Basic Enlisted Airman
9T100#Officer Trainee
9T200#Pre-Cadet Assignee
9U000#Enlisted Airman Ineligible for Local Utilization
9U100#Unallotted Enlisted Authorization
9W000#Combat Wounded Warrior
9W200#Combat Wounded Warrior with Exemptions
9W300#Non-Combat Wounded Warrior
9W400#Wounded Warrior-Limited Assignment Status
